,date,hs
1,1900-08-01,0
2,1900-08-02,0
3,1900-08-03,0
4,1900-08-04,0
5,1900-08-05,0
6,1900-08-06,0
7,1900-08-07,0
8,1900-08-08,0
9,1900-08-09,0
10,1900-08-10,0
11,1900-08-11,0
12,1900-08-12,0
13,1900-08-13,0
14,1900-08-14,0
15,1900-08-15,0
16,1900-08-16,0
17,1900-08-17,0
18,1900-08-18,0
19,1900-08-19,0
20,1900-08-20,0
21,1900-08-21,0
22,1900-08-22,0
23,1900-08-23,0
24,1900-08-24,0
25,1900-08-25,0
26,1900-08-26,0
27,1900-08-27,0
28,1900-08-28,0
29,1900-08-29,0
30,1900-08-30,0
31,1900-08-31,0
32,1900-09-01,0
33,1900-09-02,0
34,1900-09-03,0
35,1900-09-04,0
36,1900-09-05,0
37,1900-09-06,0
38,1900-09-07,0
39,1900-09-08,0
40,1900-09-09,0
41,1900-09-10,0
42,1900-09-11,0
43,1900-09-12,0
44,1900-09-13,0
45,1900-09-14,0
46,1900-09-15,0
47,1900-09-16,0
48,1900-09-17,0
49,1900-09-18,0
50,1900-09-19,0
51,1900-09-20,0
52,1900-09-21,0
53,1900-09-22,0
54,1900-09-23,0
55,1900-09-24,0
56,1900-09-25,0
57,1900-09-26,0
58,1900-09-27,0
59,1900-09-28,0
60,1900-09-29,0
61,1900-09-30,0
62,1900-10-01,0
63,1900-10-02,0
64,1900-10-03,0
65,1900-10-04,0
66,1900-10-05,0
67,1900-10-06,0
68,1900-10-07,0
69,1900-10-08,0
70,1900-10-09,0
71,1900-10-10,0
72,1900-10-11,0
73,1900-10-12,0
74,1900-10-13,0
75,1900-10-14,0
76,1900-10-15,0
77,1900-10-16,0
78,1900-10-17,0
79,1900-10-18,0
80,1900-10-19,0
81,1900-10-20,0
82,1900-10-21,0
83,1900-10-22,0
84,1900-10-23,0
85,1900-10-24,0
86,1900-10-25,0
87,1900-10-26,0
88,1900-10-27,0
89,1900-10-28,0
90,1900-10-29,0
91,1900-10-30,0
92,1900-10-31,0
93,1900-11-01,0
94,1900-11-02,0
95,1900-11-03,0
96,1900-11-04,0
97,1900-11-05,0
98,1900-11-06,0
99,1900-11-07,0
100,1900-11-08,0
101,1900-11-09,0
102,1900-11-10,0
103,1900-11-11,0
104,1900-11-12,0
105,1900-11-13,0
106,1900-11-14,0
107,1900-11-15,0
108,1900-11-16,0
109,1900-11-17,0
110,1900-11-18,0
111,1900-11-19,0
112,1900-11-20,0
113,1900-11-21,0
114,1900-11-22,0.05
115,1900-11-23,0.1
116,1900-11-24,0.09
117,1900-11-25,0.11
118,1900-11-26,0.1
119,1900-11-27,0.09
120,1900-11-28,0.07
121,1900-11-29,0.06
122,1900-11-30,0.02
123,1900-12-01,0
124,1900-12-02,0
125,1900-12-03,0.05
126,1900-12-04,0.04
127,1900-12-05,0.03
128,1900-12-06,0.02
129,1900-12-07,0.05
130,1900-12-08,0.07
131,1900-12-09,0.07
132,1900-12-10,0.06
133,1900-12-11,0.06
134,1900-12-12,0.06
135,1900-12-13,0.05
136,1900-12-14,0.05
137,1900-12-15,0.05
138,1900-12-16,0.05
139,1900-12-17,0.05
140,1900-12-18,0.11
141,1900-12-19,0.18
142,1900-12-20,0.19
143,1900-12-21,0.3
144,1900-12-22,0.2
145,1900-12-23,0.15
146,1900-12-24,0.12
147,1900-12-25,0.1
148,1900-12-26,0.1
149,1900-12-27,0.1
150,1900-12-28,0.1
151,1900-12-29,0.1
152,1900-12-30,0.1
153,1900-12-31,0.1
154,1901-01-01,0.1
155,1901-01-02,0.11
156,1901-01-03,0.12
157,1901-01-04,0.12
158,1901-01-05,0.12
159,1901-01-06,0.12
160,1901-01-07,0.12
161,1901-01-08,0.12
162,1901-01-09,0.12
163,1901-01-10,0.12
164,1901-01-11,0.12
165,1901-01-12,0.12
166,1901-01-13,0.12
167,1901-01-14,0.12
168,1901-01-15,0.13
169,1901-01-16,0.13
170,1901-01-17,0.13
171,1901-01-18,0.12
172,1901-01-19,0.12
173,1901-01-20,0.12
174,1901-01-21,0.16
175,1901-01-22,0.17
176,1901-01-23,0.17
177,1901-01-24,0.15
178,1901-01-25,0.15
179,1901-01-26,0.15
180,1901-01-27,0.15
181,1901-01-28,0.24
182,1901-01-29,0.27
183,1901-01-30,0.25
184,1901-01-31,0.25
185,1901-02-01,0.23
186,1901-02-02,0.23
187,1901-02-03,0.21
188,1901-02-04,0.21
189,1901-02-05,0.2
190,1901-02-06,0.16
191,1901-02-07,0.15
192,1901-02-08,0.16
193,1901-02-09,0.19
194,1901-02-10,0.23
195,1901-02-11,0.26
196,1901-02-12,0.36
197,1901-02-13,0.64
198,1901-02-14,0.86
199,1901-02-15,0.81
200,1901-02-16,0.64
201,1901-02-17,0.79
202,1901-02-18,0.95
203,1901-02-19,0.89
204,1901-02-20,0.86
205,1901-02-21,1.1
206,1901-02-22,1.2
207,1901-02-23,1.07
208,1901-02-24,1.3
209,1901-02-25,1.1
210,1901-02-26,1.05
211,1901-02-27,1.22
212,1901-02-28,1.07
213,1901-03-01,0.97
214,1901-03-02,0.88
215,1901-03-03,0.83
216,1901-03-04,0.77
217,1901-03-05,0.72
218,1901-03-06,0.69
219,1901-03-07,0.76
220,1901-03-08,0.74
221,1901-03-09,0.74
222,1901-03-10,0.77
223,1901-03-11,0.72
224,1901-03-12,0.87
225,1901-03-13,0.89
226,1901-03-14,0.83
227,1901-03-15,0.77
228,1901-03-16,0.76
229,1901-03-17,0.69
230,1901-03-18,0.65
231,1901-03-19,0.62
232,1901-03-20,0.67
233,1901-03-21,0.64
234,1901-03-22,0.62
235,1901-03-23,0.64
236,1901-03-24,0.66
237,1901-03-25,0.74
238,1901-03-26,0.84
239,1901-03-27,0.79
240,1901-03-28,0.68
241,1901-03-29,0.67
242,1901-03-30,0.74
243,1901-03-31,0.62
244,1901-04-01,0.53
245,1901-04-02,0.46
246,1901-04-03,0.4
247,1901-04-04,0.35
248,1901-04-05,0.25
249,1901-04-06,0.2
250,1901-04-07,0.15
251,1901-04-08,0.08
252,1901-04-09,0.05
253,1901-04-10,0
254,1901-04-11,0
255,1901-04-12,0
256,1901-04-13,0
257,1901-04-14,0
258,1901-04-15,0
259,1901-04-16,0
260,1901-04-17,0
261,1901-04-18,0
262,1901-04-19,0
263,1901-04-20,0
264,1901-04-21,0
265,1901-04-22,0
266,1901-04-23,0
267,1901-04-24,0
268,1901-04-25,0
269,1901-04-26,0
270,1901-04-27,0
271,1901-04-28,0
272,1901-04-29,0
273,1901-04-30,0
274,1901-05-01,0
275,1901-05-02,0
276,1901-05-03,0
277,1901-05-04,0
278,1901-05-05,0
279,1901-05-06,0
280,1901-05-07,0
281,1901-05-08,0
282,1901-05-09,0
283,1901-05-10,0
284,1901-05-11,0
285,1901-05-12,0
286,1901-05-13,0
287,1901-05-14,0
288,1901-05-15,0
289,1901-05-16,0
290,1901-05-17,0
291,1901-05-18,0
292,1901-05-19,0
293,1901-05-20,0
294,1901-05-21,0
295,1901-05-22,0
296,1901-05-23,0
297,1901-05-24,0
298,1901-05-25,0
299,1901-05-26,0
300,1901-05-27,0
301,1901-05-28,0
302,1901-05-29,0
303,1901-05-30,0
304,1901-05-31,0
305,1901-06-01,0
306,1901-06-02,0
307,1901-06-03,0
308,1901-06-04,0
309,1901-06-05,0
310,1901-06-06,0
311,1901-06-07,0
312,1901-06-08,0
313,1901-06-09,0
314,1901-06-10,0
315,1901-06-11,0
316,1901-06-12,0
317,1901-06-13,0
318,1901-06-14,0
319,1901-06-15,0
320,1901-06-16,0
321,1901-06-17,0
322,1901-06-18,0
323,1901-06-19,0
324,1901-06-20,0
325,1901-06-21,0
326,1901-06-22,0
327,1901-06-23,0
328,1901-06-24,0
329,1901-06-25,0
330,1901-06-26,0
331,1901-06-27,0
332,1901-06-28,0
333,1901-06-29,0
334,1901-06-30,0
335,1901-07-01,0
336,1901-07-02,0
337,1901-07-03,0
338,1901-07-04,0
339,1901-07-05,0
340,1901-07-06,0
341,1901-07-07,0
342,1901-07-08,0
343,1901-07-09,0
344,1901-07-10,0
345,1901-07-11,0
346,1901-07-12,0
347,1901-07-13,0
348,1901-07-14,0
349,1901-07-15,0
350,1901-07-16,0
351,1901-07-17,0
352,1901-07-18,0
353,1901-07-19,0
354,1901-07-20,0
355,1901-07-21,0
356,1901-07-22,0
357,1901-07-23,0
358,1901-07-24,0
359,1901-07-25,0
360,1901-07-26,0
361,1901-07-27,0
362,1901-07-28,0
363,1901-07-29,0
364,1901-07-30,0
365,1901-07-31,0
